"query","intent","entities"
"Dr. Amoako PHYS301 week 3 readings","find_lecture_materials","[('Dr. Amoako', 'professor'), ('PHYS301', 'course'), ('3', 'week'), ('readings', 'content_type')]"
"February 2023 lecture notes","find_general_materials","[('lecture notes', 'content_type')]"
"CS101 lecture notes week 11","find_lecture_materials","[('CS101', 'course'), ('11', 'week'), ('lecture notes', 'content_type')]"
"Prof. Smith solutions 2023","find_general_materials","[('Prof. Smith', 'professor'), ('solutions', 'content_type')]"
"Prof. Smith CHEM102 readings","find_general_materials","[('Prof. Smith', 'professor'), ('CHEM102', 'course'), ('readings', 'content_type')]"
"Prof. Lee CS101 readings","find_general_materials","[('Prof. Lee', 'professor'), ('CS101', 'course'), ('readings', 'content_type')]"
"exams for MATH202","find_exam_materials","[('MATH202', 'course'), ('exams', 'content_type')]"
"Prof. Smith BIO205 solutions","find_general_materials","[('Prof. Smith', 'professor'), ('BIO205', 'course'), ('solutions', 'content_type')]"
"Dr. Johnson exams 2021","find_general_materials","[('Dr. Johnson', 'professor'), ('exams', 'content_type')]"
"Dr. Johnson lecture notes 2022","find_general_materials","[('Dr. Johnson', 'professor'), ('lecture notes', 'content_type')]"
"Dr. Johnson readings 2023","find_general_materials","[('Dr. Johnson', 'professor'), ('readings', 'content_type')]"
"CHEM102 lecture notes week 5","find_lecture_materials","[('CHEM102', 'course'), ('5', 'week'), ('lecture notes', 'content_type')]"
"Week 4 slides Dr. Amoako","find_lecture_materials","[('Dr. Amoako', 'professor'), ('4', 'week'), ('slides', 'content_type')]"
"January 2021 solutions","find_general_materials","[('solutions', 'content_type')]"
"February 2023 assignments","find_general_materials","[('assignments', 'content_type')]"
"Week 3 solutions Dr. Amoako","find_lecture_materials","[('Dr. Amoako', 'professor'), ('3', 'week'), ('solutions', 'content_type')]"
"readings for CS101","find_general_materials","[('CS101', 'course'), ('readings', 'content_type')]"
"February 2023 exams","find_general_materials","[('exams', 'content_type')]"
"Dr. Garcia CHEM102 week 2 assignments","find_lecture_materials","[('Dr. Garcia', 'professor'), ('CHEM102', 'course'), ('2', 'week'), ('assignments', 'content_type')]"
"Week 8 readings Dr. Johnson","find_lecture_materials","[('Dr. Johnson', 'professor'), ('8', 'week'), ('readings', 'content_type')]"
"PHYS301 lecture notes week 8","find_lecture_materials","[('PHYS301', 'course'), ('8', 'week'), ('lecture notes', 'content_type')]"
"Prof. Smith CHEM102 week 5 exams","find_lecture_materials","[('Prof. Smith', 'professor'), ('CHEM102', 'course'), ('5', 'week'), ('exams', 'content_type')]"
"January 2023 lecture notes","find_general_materials","[('lecture notes', 'content_type')]"
"Week 5 solutions Prof. Lee","find_lecture_materials","[('Prof. Lee', 'professor'), ('5', 'week'), ('solutions', 'content_type')]"
"Dr. Johnson BIO205 slides","find_general_materials","[('Dr. Johnson', 'professor'), ('BIO205', 'course'), ('slides', 'content_type')]"
"CS101 exams week 3","find_lecture_materials","[('CS101', 'course'), ('3', 'week'), ('exams', 'content_type')]"
"exams for CS101","find_exam_materials","[('CS101', 'course'), ('exams', 'content_type')]"
"readings for MATH202","find_general_materials","[('MATH202', 'course'), ('readings', 'content_type')]"
"April 2021 solutions","find_general_materials","[('solutions', 'content_type')]"
"Week 9 exams Dr. Johnson","find_lecture_materials","[('Dr. Johnson', 'professor'), ('9', 'week'), ('exams', 'content_type')]"
"Dr. Garcia BIO205 solutions","find_general_materials","[('Dr. Garcia', 'professor'), ('BIO205', 'course'), ('solutions', 'content_type')]"
"Prof. Smith PHYS301 week 11 lecture notes","find_lecture_materials","[('Prof. Smith', 'professor'), ('PHYS301', 'course'), ('11', 'week'), ('lecture notes', 'content_type')]"
"CS101 solutions week 3","find_lecture_materials","[('CS101', 'course'), ('3', 'week'), ('solutions', 'content_type')]"
"Week 5 readings Prof. Smith","find_lecture_materials","[('Prof. Smith', 'professor'), ('5', 'week'), ('readings', 'content_type')]"
"Dr. Johnson MATH202 readings","find_general_materials","[('Dr. Johnson', 'professor'), ('MATH202', 'course'), ('readings', 'content_type')]"
"CHEM102 lecture notes week 4","find_lecture_materials","[('CHEM102', 'course'), ('4', 'week'), ('lecture notes', 'content_type')]"
"Prof. Lee BIO205 week 1 readings","find_lecture_materials","[('Prof. Lee', 'professor'), ('BIO205', 'course'), ('1', 'week'), ('readings', 'content_type')]"
"CS101 slides week 3","find_lecture_materials","[('CS101', 'course'), ('3', 'week'), ('slides', 'content_type')]"
"Dr. Johnson MATH202 week 11 exams","find_lecture_materials","[('Dr. Johnson', 'professor'), ('MATH202', 'course'), ('11', 'week'), ('exams', 'content_type')]"
"lecture notes for BIO205","find_general_materials","[('BIO205', 'course'), ('lecture notes', 'content_type')]"
"February 2023 solutions","find_general_materials","[('solutions', 'content_type')]"
"Prof. Smith PHYS301 slides","find_general_materials","[('Prof. Smith', 'professor'), ('PHYS301', 'course'), ('slides', 'content_type')]"
"Week 9 exams Dr. Garcia","find_lecture_materials","[('Dr. Garcia', 'professor'), ('9', 'week'), ('exams', 'content_type')]"
"PHYS301 solutions week 11","find_lecture_materials","[('PHYS301', 'course'), ('11', 'week'), ('solutions', 'content_type')]"
"January 2023 lecture notes","find_general_materials","[('lecture notes', 'content_type')]"
"Dr. Amoako PHYS301 week 11 slides","find_lecture_materials","[('Dr. Amoako', 'professor'), ('PHYS301', 'course'), ('11', 'week'), ('slides', 'content_type')]"
"slides for BIO205","find_general_materials","[('BIO205', 'course'), ('slides', 'content_type')]"
"Dr. Garcia solutions 2021","find_general_materials","[('Dr. Garcia', 'professor'), ('solutions', 'content_type')]"
"lecture notes for MATH202","find_general_materials","[('MATH202', 'course'), ('lecture notes', 'content_type')]"
"BIO205 assignments week 4","find_lecture_materials","[('BIO205', 'course'), ('4', 'week'), ('assignments', 'content_type')]"
"Prof. Lee solutions 2023","find_general_materials","[('Prof. Lee', 'professor'), ('solutions', 'content_type')]"
"Prof. Smith CS101 readings","find_general_materials","[('Prof. Smith', 'professor'), ('CS101', 'course'), ('readings', 'content_type')]"
"exams for PHYS301","find_exam_materials","[('PHYS301', 'course'), ('exams', 'content_type')]"
"February 2022 slides","find_general_materials","[('slides', 'content_type')]"
"Week 4 exams Prof. Lee","find_lecture_materials","[('Prof. Lee', 'professor'), ('4', 'week'), ('exams', 'content_type')]"
"Week 11 slides Dr. Garcia","find_lecture_materials","[('Dr. Garcia', 'professor'), ('11', 'week'), ('slides', 'content_type')]"
"Week 4 exams Dr. Garcia","find_lecture_materials","[('Dr. Garcia', 'professor'), ('4', 'week'), ('exams', 'content_type')]"
"solutions for PHYS301","find_general_materials","[('PHYS301', 'course'), ('solutions', 'content_type')]"
"Prof. Smith CS101 week 2 assignments","find_lecture_materials","[('Prof. Smith', 'professor'), ('CS101', 'course'), ('2', 'week'), ('assignments', 'content_type')]"
"Dr. Johnson solutions 2021","find_general_materials","[('Dr. Johnson', 'professor'), ('solutions', 'content_type')]"
"Dr. Johnson readings 2023","find_general_materials","[('Dr. Johnson', 'professor'), ('readings', 'content_type')]"
"readings for PHYS301","find_general_materials","[('PHYS301', 'course'), ('readings', 'content_type')]"
"March 2021 slides","find_general_materials","[('slides', 'content_type')]"
"February 2021 solutions","find_general_materials","[('solutions', 'content_type')]"
"Dr. Johnson PHYS301 week 5 exams","find_lecture_materials","[('Dr. Johnson', 'professor'), ('PHYS301', 'course'), ('5', 'week'), ('exams', 'content_type')]"
"CS101 slides week 10","find_lecture_materials","[('CS101', 'course'), ('10', 'week'), ('slides', 'content_type')]"
"assignments for MATH202","find_assignments","[('MATH202', 'course'), ('assignments', 'content_type')]"
"Dr. Amoako CS101 readings","find_general_materials","[('Dr. Amoako', 'professor'), ('CS101', 'course'), ('readings', 'content_type')]"
"Prof. Lee slides 2021","find_general_materials","[('Prof. Lee', 'professor'), ('slides', 'content_type')]"
"Dr. Johnson readings 2022","find_general_materials","[('Dr. Johnson', 'professor'), ('readings', 'content_type')]"
"assignments for BIO205","find_assignments","[('BIO205', 'course'), ('assignments', 'content_type')]"
"Week 4 readings Dr. Garcia","find_lecture_materials","[('Dr. Garcia', 'professor'), ('4', 'week'), ('readings', 'content_type')]"
"Dr. Johnson BIO205 week 3 lecture notes","find_lecture_materials","[('Dr. Johnson', 'professor'), ('BIO205', 'course'), ('3', 'week'), ('lecture notes', 'content_type')]"
"Prof. Smith CS101 week 10 readings","find_lecture_materials","[('Prof. Smith', 'professor'), ('CS101', 'course'), ('10', 'week'), ('readings', 'content_type')]"
"Dr. Amoako assignments 2021","find_general_materials","[('Dr. Amoako', 'professor'), ('assignments', 'content_type')]"
"Dr. Johnson CHEM102 lecture notes","find_general_materials","[('Dr. Johnson', 'professor'), ('CHEM102', 'course'), ('lecture notes', 'content_type')]"
"Week 12 readings Prof. Smith","find_lecture_materials","[('Prof. Smith', 'professor'), ('12', 'week'), ('readings', 'content_type')]"
"PHYS301 exams week 3","find_lecture_materials","[('PHYS301', 'course'), ('3', 'week'), ('exams', 'content_type')]"
"Prof. Lee BIO205 week 12 solutions","find_lecture_materials","[('Prof. Lee', 'professor'), ('BIO205', 'course'), ('12', 'week'), ('solutions', 'content_type')]"
"Dr. Garcia CS101 readings","find_general_materials","[('Dr. Garcia', 'professor'), ('CS101', 'course'), ('readings', 'content_type')]"
"slides for CHEM102","find_general_materials","[('CHEM102', 'course'), ('slides', 'content_type')]"
"Dr. Garcia BIO205 exams","find_exam_materials","[('Dr. Garcia', 'professor'), ('BIO205', 'course'), ('exams', 'content_type')]"
"Prof. Smith BIO205 exams","find_exam_materials","[('Prof. Smith', 'professor'), ('BIO205', 'course'), ('exams', 'content_type')]"
"Prof. Lee solutions 2021","find_general_materials","[('Prof. Lee', 'professor'), ('solutions', 'content_type')]"
"CHEM102 lecture notes week 7","find_lecture_materials","[('CHEM102', 'course'), ('7', 'week'), ('lecture notes', 'content_type')]"
"Dr. Johnson PHYS301 week 7 exams","find_lecture_materials","[('Dr. Johnson', 'professor'), ('PHYS301', 'course'), ('7', 'week'), ('exams', 'content_type')]"
"assignments for BIO205","find_assignments","[('BIO205', 'course'), ('assignments', 'content_type')]"
"Dr. Garcia CS101 week 3 readings","find_lecture_materials","[('Dr. Garcia', 'professor'), ('CS101', 'course'), ('3', 'week'), ('readings', 'content_type')]"
"Dr. Johnson PHYS301 readings","find_general_materials","[('Dr. Johnson', 'professor'), ('PHYS301', 'course'), ('readings', 'content_type')]"
"Dr. Garcia readings 2021","find_general_materials","[('Dr. Garcia', 'professor'), ('readings', 'content_type')]"
"PHYS301 readings week 3","find_lecture_materials","[('PHYS301', 'course'), ('3', 'week'), ('readings', 'content_type')]"
"Week 4 lecture notes Prof. Smith","find_lecture_materials","[('Prof. Smith', 'professor'), ('4', 'week'), ('lecture notes', 'content_type')]"
"slides for CS101","find_general_materials","[('CS101', 'course'), ('slides', 'content_type')]"
"Prof. Smith CHEM102 week 2 exams","find_lecture_materials","[('Prof. Smith', 'professor'), ('CHEM102', 'course'), ('2', 'week'), ('exams', 'content_type')]"
"Prof. Lee BIO205 exams","find_exam_materials","[('Prof. Lee', 'professor'), ('BIO205', 'course'), ('exams', 'content_type')]"
"BIO205 readings week 12","find_lecture_materials","[('BIO205', 'course'), ('12', 'week'), ('readings', 'content_type')]"
"assignments for CS101","find_assignments","[('CS101', 'course'), ('assignments', 'content_type')]"
"CHEM102 exams week 8","find_lecture_materials","[('CHEM102', 'course'), ('8', 'week'), ('exams', 'content_type')]"
"Prof. Smith CS101 week 8 lecture notes","find_lecture_materials","[('Prof. Smith', 'professor'), ('CS101', 'course'), ('8', 'week'), ('lecture notes', 'content_type')]"
"Dr. Amoako BIO205 week 2 assignments","find_lecture_materials","[('Dr. Amoako', 'professor'), ('BIO205', 'course'), ('2', 'week'), ('assignments', 'content_type')]"
"March 2021 readings","find_general_materials","[('readings', 'content_type')]"
"exams for MATH202","find_exam_materials","[('MATH202', 'course'), ('exams', 'content_type')]"
"slides for PHYS301","find_general_materials","[('PHYS301', 'course'), ('slides', 'content_type')]"
"Week 6 solutions Prof. Lee","find_lecture_materials","[('Prof. Lee', 'professor'), ('6', 'week'), ('solutions', 'content_type')]"
"Dr. Garcia slides 2022","find_general_materials","[('Dr. Garcia', 'professor'), ('slides', 'content_type')]"
"Dr. Johnson BIO205 week 10 readings","find_lecture_materials","[('Dr. Johnson', 'professor'), ('BIO205', 'course'), ('10', 'week'), ('readings', 'content_type')]"
"Dr. Garcia slides 2021","find_general_materials","[('Dr. Garcia', 'professor'), ('slides', 'content_type')]"
"Week 6 solutions Dr. Amoako","find_lecture_materials","[('Dr. Amoako', 'professor'), ('6', 'week'), ('solutions', 'content_type')]"
"January 2023 exams","find_general_materials","[('exams', 'content_type')]"
"Prof. Smith PHYS301 readings","find_general_materials","[('Prof. Smith', 'professor'), ('PHYS301', 'course'), ('readings', 'content_type')]"
"Dr. Garcia CS101 slides","find_general_materials","[('Dr. Garcia', 'professor'), ('CS101', 'course'), ('slides', 'content_type')]"
"Dr. Garcia exams 2022","find_general_materials","[('Dr. Garcia', 'professor'), ('exams', 'content_type')]"
"April 2023 lecture notes","find_general_materials","[('lecture notes', 'content_type')]"
"BIO205 solutions week 10","find_lecture_materials","[('BIO205', 'course'), ('10', 'week'), ('solutions', 'content_type')]"
"readings for PHYS301","find_general_materials","[('PHYS301', 'course'), ('readings', 'content_type')]"
"lecture notes for BIO205","find_general_materials","[('BIO205', 'course'), ('lecture notes', 'content_type')]"
"PHYS301 slides week 10","find_lecture_materials","[('PHYS301', 'course'), ('10', 'week'), ('slides', 'content_type')]"
"Dr. Amoako exams 2023","find_general_materials","[('Dr. Amoako', 'professor'), ('exams', 'content_type')]"
"Week 11 slides Dr. Amoako","find_lecture_materials","[('Dr. Amoako', 'professor'), ('11', 'week'), ('slides', 'content_type')]"
"Week 5 readings Dr. Garcia","find_lecture_materials","[('Dr. Garcia', 'professor'), ('5', 'week'), ('readings', 'content_type')]"
"October 2023 lecture notes","find_general_materials","[('lecture notes', 'content_type')]"
"solutions for BIO205","find_general_materials","[('BIO205', 'course'), ('solutions', 'content_type')]"
"CHEM102 lecture notes week 8","find_lecture_materials","[('CHEM102', 'course'), ('8', 'week'), ('lecture notes', 'content_type')]"
"exams for MATH202","find_exam_materials","[('MATH202', 'course'), ('exams', 'content_type')]"
"Dr. Amoako BIO205 week 6 solutions","find_lecture_materials","[('Dr. Amoako', 'professor'), ('BIO205', 'course'), ('6', 'week'), ('solutions', 'content_type')]"
"lecture notes for MATH202","find_general_materials","[('MATH202', 'course'), ('lecture notes', 'content_type')]"
"assignments for BIO205","find_assignments","[('BIO205', 'course'), ('assignments', 'content_type')]"
"Dr. Johnson assignments 2023","find_general_materials","[('Dr. Johnson', 'professor'), ('assignments', 'content_type')]"
"PHYS301 assignments week 9","find_lecture_materials","[('PHYS301', 'course'), ('9', 'week'), ('assignments', 'content_type')]"
"Week 5 readings Dr. Johnson","find_lecture_materials","[('Dr. Johnson', 'professor'), ('5', 'week'), ('readings', 'content_type')]"
"Prof. Smith solutions 2022","find_general_materials","[('Prof. Smith', 'professor'), ('solutions', 'content_type')]"
"April 2023 solutions","find_general_materials","[('solutions', 'content_type')]"
"Dr. Amoako CS101 assignments","find_assignments","[('Dr. Amoako', 'professor'), ('CS101', 'course'), ('assignments', 'content_type')]"
"January 2021 slides","find_general_materials","[('slides', 'content_type')]"
"Prof. Lee MATH202 slides","find_general_materials","[('Prof. Lee', 'professor'), ('MATH202', 'course'), ('slides', 'content_type')]"
"Dr. Amoako BIO205 readings","find_general_materials","[('Dr. Amoako', 'professor'), ('BIO205', 'course'), ('readings', 'content_type')]"
"Week 8 readings Dr. Johnson","find_lecture_materials","[('Dr. Johnson', 'professor'), ('8', 'week'), ('readings', 'content_type')]"
"Prof. Lee BIO205 week 4 slides","find_lecture_materials","[('Prof. Lee', 'professor'), ('BIO205', 'course'), ('4', 'week'), ('slides', 'content_type')]"
"CHEM102 exams week 5","find_lecture_materials","[('CHEM102', 'course'), ('5', 'week'), ('exams', 'content_type')]"
"MATH202 lecture notes week 6","find_lecture_materials","[('MATH202', 'course'), ('6', 'week'), ('lecture notes', 'content_type')]"
"January 2021 slides","find_general_materials","[('slides', 'content_type')]"
"January 2023 exams","find_general_materials","[('exams', 'content_type')]"
"Dr. Garcia exams 2021","find_general_materials","[('Dr. Garcia', 'professor'), ('exams', 'content_type')]"
"Dr. Amoako CHEM102 assignments","find_assignments","[('Dr. Amoako', 'professor'), ('CHEM102', 'course'), ('assignments', 'content_type')]"
"Prof. Lee MATH202 week 4 lecture notes","find_lecture_materials","[('Prof. Lee', 'professor'), ('MATH202', 'course'), ('4', 'week'), ('lecture notes', 'content_type')]"
"Dr. Johnson solutions 2021","find_general_materials","[('Dr. Johnson', 'professor'), ('solutions', 'content_type')]"
"exams for CS101","find_exam_materials","[('CS101', 'course'), ('exams', 'content_type')]"
"assignments for PHYS301","find_assignments","[('PHYS301', 'course'), ('assignments', 'content_type')]"
"lecture notes for CHEM102","find_general_materials","[('CHEM102', 'course'), ('lecture notes', 'content_type')]"
"Prof. Lee CHEM102 readings","find_general_materials","[('Prof. Lee', 'professor'), ('CHEM102', 'course'), ('readings', 'content_type')]"
"MATH202 readings week 9","find_lecture_materials","[('MATH202', 'course'), ('9', 'week'), ('readings', 'content_type')]"
"exams for MATH202","find_exam_materials","[('MATH202', 'course'), ('exams', 'content_type')]"
"Dr. Garcia readings 2023","find_general_materials","[('Dr. Garcia', 'professor'), ('readings', 'content_type')]"
"Week 5 assignments Dr. Amoako","find_lecture_materials","[('Dr. Amoako', 'professor'), ('5', 'week'), ('assignments', 'content_type')]"
"October 2022 lecture notes","find_general_materials","[('lecture notes', 'content_type')]"
"BIO205 solutions week 1","find_lecture_materials","[('BIO205', 'course'), ('1', 'week'), ('solutions', 'content_type')]"
"slides for CS101","find_general_materials","[('CS101', 'course'), ('slides', 'content_type')]"
"lecture notes for PHYS301","find_general_materials","[('PHYS301', 'course'), ('lecture notes', 'content_type')]"
"Prof. Smith CS101 exams","find_exam_materials","[('Prof. Smith', 'professor'), ('CS101', 'course'), ('exams', 'content_type')]"
"Prof. Smith CHEM102 week 8 solutions","find_lecture_materials","[('Prof. Smith', 'professor'), ('CHEM102', 'course'), ('8', 'week'), ('solutions', 'content_type')]"
"Dr. Johnson PHYS301 slides","find_general_materials","[('Dr. Johnson', 'professor'), ('PHYS301', 'course'), ('slides', 'content_type')]"
"Dr. Johnson BIO205 week 9 solutions","find_lecture_materials","[('Dr. Johnson', 'professor'), ('BIO205', 'course'), ('9', 'week'), ('solutions', 'content_type')]"
"Dr. Amoako MATH202 week 2 solutions","find_lecture_materials","[('Dr. Amoako', 'professor'), ('MATH202', 'course'), ('2', 'week'), ('solutions', 'content_type')]"
"February 2022 solutions","find_general_materials","[('solutions', 'content_type')]"
"solutions for MATH202","find_general_materials","[('MATH202', 'course'), ('solutions', 'content_type')]"
"Dr. Amoako solutions 2023","find_general_materials","[('Dr. Amoako', 'professor'), ('solutions', 'content_type')]"
"MATH202 exams week 6","find_lecture_materials","[('MATH202', 'course'), ('6', 'week'), ('exams', 'content_type')]"
"Week 9 assignments Prof. Lee","find_lecture_materials","[('Prof. Lee', 'professor'), ('9', 'week'), ('assignments', 'content_type')]"
"Dr. Johnson CHEM102 assignments","find_assignments","[('Dr. Johnson', 'professor'), ('CHEM102', 'course'), ('assignments', 'content_type')]"
"Prof. Lee CHEM102 exams","find_exam_materials","[('Prof. Lee', 'professor'), ('CHEM102', 'course'), ('exams', 'content_type')]"
"Dr. Johnson MATH202 assignments","find_assignments","[('Dr. Johnson', 'professor'), ('MATH202', 'course'), ('assignments', 'content_type')]"
"lecture notes for PHYS301","find_general_materials","[('PHYS301', 'course'), ('lecture notes', 'content_type')]"
"lecture notes for CS101","find_general_materials","[('CS101', 'course'), ('lecture notes', 'content_type')]"
"Prof. Lee exams 2021","find_general_materials","[('Prof. Lee', 'professor'), ('exams', 'content_type')]"
"Dr. Garcia CHEM102 week 6 slides","find_lecture_materials","[('Dr. Garcia', 'professor'), ('CHEM102', 'course'), ('6', 'week'), ('slides', 'content_type')]"
"March 2021 slides","find_general_materials","[('slides', 'content_type')]"
"January 2021 readings","find_general_materials","[('readings', 'content_type')]"
"Dr. Amoako PHYS301 week 11 slides","find_lecture_materials","[('Dr. Amoako', 'professor'), ('PHYS301', 'course'), ('11', 'week'), ('slides', 'content_type')]"
"Week 5 exams Dr. Johnson","find_lecture_materials","[('Dr. Johnson', 'professor'), ('5', 'week'), ('exams', 'content_type')]"
"MATH202 slides week 8","find_lecture_materials","[('MATH202', 'course'), ('8', 'week'), ('slides', 'content_type')]"
"Dr. Amoako assignments 2021","find_general_materials","[('Dr. Amoako', 'professor'), ('assignments', 'content_type')]"
"April 2023 assignments","find_general_materials","[('assignments', 'content_type')]"
"lecture notes for CHEM102","find_general_materials","[('CHEM102', 'course'), ('lecture notes', 'content_type')]"
"Week 3 readings Prof. Lee","find_lecture_materials","[('Prof. Lee', 'professor'), ('3', 'week'), ('readings', 'content_type')]"
"September 2022 slides","find_general_materials","[('slides', 'content_type')]"
"Prof. Smith exams 2022","find_general_materials","[('Prof. Smith', 'professor'), ('exams', 'content_type')]"
"Prof. Lee BIO205 exams","find_exam_materials","[('Prof. Lee', 'professor'), ('BIO205', 'course'), ('exams', 'content_type')]"
"Prof. Smith CS101 week 4 lecture notes","find_lecture_materials","[('Prof. Smith', 'professor'), ('CS101', 'course'), ('4', 'week'), ('lecture notes', 'content_type')]"
"September 2023 exams","find_general_materials","[('exams', 'content_type')]"
"Dr. Amoako solutions 2022","find_general_materials","[('Dr. Amoako', 'professor'), ('solutions', 'content_type')]"
"BIO205 lecture notes week 8","find_lecture_materials","[('BIO205', 'course'), ('8', 'week'), ('lecture notes', 'content_type')]"
"CHEM102 assignments week 7","find_lecture_materials","[('CHEM102', 'course'), ('7', 'week'), ('assignments', 'content_type')]"
"September 2022 slides","find_general_materials","[('slides', 'content_type')]"
"Dr. Garcia CS101 week 8 exams","find_lecture_materials","[('Dr. Garcia', 'professor'), ('CS101', 'course'), ('8', 'week'), ('exams', 'content_type')]"
"Week 9 slides Dr. Garcia","find_lecture_materials","[('Dr. Garcia', 'professor'), ('9', 'week'), ('slides', 'content_type')]"
"Prof. Smith BIO205 slides","find_general_materials","[('Prof. Smith', 'professor'), ('BIO205', 'course'), ('slides', 'content_type')]"
"Dr. Garcia lecture notes 2022","find_general_materials","[('Dr. Garcia', 'professor'), ('lecture notes', 'content_type')]"
"Dr. Johnson MATH202 week 2 slides","find_lecture_materials","[('Dr. Johnson', 'professor'), ('MATH202', 'course'), ('2', 'week'), ('slides', 'content_type')]"
"readings for CHEM102","find_general_materials","[('CHEM102', 'course'), ('readings', 'content_type')]"
"January 2023 readings","find_general_materials","[('readings', 'content_type')]"
"Week 2 assignments Dr. Amoako","find_lecture_materials","[('Dr. Amoako', 'professor'), ('2', 'week'), ('assignments', 'content_type')]"
"Week 1 solutions Dr. Amoako","find_lecture_materials","[('Dr. Amoako', 'professor'), ('1', 'week'), ('solutions', 'content_type')]"
"February 2022 readings","find_general_materials","[('readings', 'content_type')]"
"Week 12 solutions Dr. Amoako","find_lecture_materials","[('Dr. Amoako', 'professor'), ('12', 'week'), ('solutions', 'content_type')]"
"Week 7 slides Dr. Johnson","find_lecture_materials","[('Dr. Johnson', 'professor'), ('7', 'week'), ('slides', 'content_type')]"
"Dr. Johnson slides 2022","find_general_materials","[('Dr. Johnson', 'professor'), ('slides', 'content_type')]"
"Prof. Smith CHEM102 week 4 lecture notes","find_lecture_materials","[('Prof. Smith', 'professor'), ('CHEM102', 'course'), ('4', 'week'), ('lecture notes', 'content_type')]"
"Prof. Lee CHEM102 week 6 solutions","find_lecture_materials","[('Prof. Lee', 'professor'), ('CHEM102', 'course'), ('6', 'week'), ('solutions', 'content_type')]"
"March 2022 readings","find_general_materials","[('readings', 'content_type')]"
"April 2021 lecture notes","find_general_materials","[('lecture notes', 'content_type')]"
"Prof. Lee PHYS301 week 2 assignments","find_lecture_materials","[('Prof. Lee', 'professor'), ('PHYS301', 'course'), ('2', 'week'), ('assignments', 'content_type')]"
"Dr. Garcia BIO205 assignments","find_assignments","[('Dr. Garcia', 'professor'), ('BIO205', 'course'), ('assignments', 'content_type')]"
"CHEM102 exams week 10","find_lecture_materials","[('CHEM102', 'course'), ('10', 'week'), ('exams', 'content_type')]"
"BIO205 exams week 5","find_lecture_materials","[('BIO205', 'course'), ('5', 'week'), ('exams', 'content_type')]"
"April 2021 readings","find_general_materials","[('readings', 'content_type')]"
"January 2023 solutions","find_general_materials","[('solutions', 'content_type')]"
"Dr. Garcia exams 2022","find_general_materials","[('Dr. Garcia', 'professor'), ('exams', 'content_type')]"
"Dr. Garcia lecture notes 2023","find_general_materials","[('Dr. Garcia', 'professor'), ('lecture notes', 'content_type')]"
"February 2021 slides","find_general_materials","[('slides', 'content_type')]"
"Week 5 lecture notes Dr. Garcia","find_lecture_materials","[('Dr. Garcia', 'professor'), ('5', 'week'), ('lecture notes', 'content_type')]"
"CHEM102 slides week 1","find_lecture_materials","[('CHEM102', 'course'), ('1', 'week'), ('slides', 'content_type')]"
"Dr. Johnson CS101 week 9 readings","find_lecture_materials","[('Dr. Johnson', 'professor'), ('CS101', 'course'), ('9', 'week'), ('readings', 'content_type')]"
"Prof. Smith PHYS301 assignments","find_assignments","[('Prof. Smith', 'professor'), ('PHYS301', 'course'), ('assignments', 'content_type')]"
"Prof. Lee MATH202 solutions","find_general_materials","[('Prof. Lee', 'professor'), ('MATH202', 'course'), ('solutions', 'content_type')]"
"Prof. Lee readings 2023","find_general_materials","[('Prof. Lee', 'professor'), ('readings', 'content_type')]"
"Dr. Amoako MATH202 exams","find_exam_materials","[('Dr. Amoako', 'professor'), ('MATH202', 'course'), ('exams', 'content_type')]"
"CS101 readings week 7","find_lecture_materials","[('CS101', 'course'), ('7', 'week'), ('readings', 'content_type')]"
"Dr. Amoako assignments 2022","find_general_materials","[('Dr. Amoako', 'professor'), ('assignments', 'content_type')]"
"Dr. Johnson BIO205 lecture notes","find_general_materials","[('Dr. Johnson', 'professor'), ('BIO205', 'course'), ('lecture notes', 'content_type')]"
"PHYS301 lecture notes week 8","find_lecture_materials","[('PHYS301', 'course'), ('8', 'week'), ('lecture notes', 'content_type')]"
"Prof. Smith readings 2021","find_general_materials","[('Prof. Smith', 'professor'), ('readings', 'content_type')]"
"Dr. Amoako BIO205 week 10 readings","find_lecture_materials","[('Dr. Amoako', 'professor'), ('BIO205', 'course'), ('10', 'week'), ('readings', 'content_type')]"
"Week 6 assignments Dr. Johnson","find_lecture_materials","[('Dr. Johnson', 'professor'), ('6', 'week'), ('assignments', 'content_type')]"
"Week 3 lecture notes Dr. Garcia","find_lecture_materials","[('Dr. Garcia', 'professor'), ('3', 'week'), ('lecture notes', 'content_type')]"
"assignments for CHEM102","find_assignments","[('CHEM102', 'course'), ('assignments', 'content_type')]"
"September 2021 readings","find_general_materials","[('readings', 'content_type')]"
"solutions for MATH202","find_general_materials","[('MATH202', 'course'), ('solutions', 'content_type')]"
"Dr. Amoako PHYS301 week 9 solutions","find_lecture_materials","[('Dr. Amoako', 'professor'), ('PHYS301', 'course'), ('9', 'week'), ('solutions', 'content_type')]"
"Dr. Garcia BIO205 week 11 exams","find_lecture_materials","[('Dr. Garcia', 'professor'), ('BIO205', 'course'), ('11', 'week'), ('exams', 'content_type')]"
"Dr. Amoako exams 2021","find_general_materials","[('Dr. Amoako', 'professor'), ('exams', 'content_type')]"
"Week 4 solutions Prof. Lee","find_lecture_materials","[('Prof. Lee', 'professor'), ('4', 'week'), ('solutions', 'content_type')]"
"BIO205 lecture notes week 10","find_lecture_materials","[('BIO205', 'course'), ('10', 'week'), ('lecture notes', 'content_type')]"
